Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2019-01-02,148.7574005126953,149.59300361194283,144.9155256205748,145.0211777663317,58576700
2019-01-03,143.89743041992188,147.20143050039752,143.58047398419114,146.5675322845256,74820200
2019-01-04,150.05406188964844,150.79362709425007,145.74156562812507,146.31783821219935,74709300
2019-01-07,151.84054565429688,152.58011091202965,149.93882107572117,150.42865500571352,52059300
2019-01-08,153.2139892578125,153.7806623405271,150.98569457544917,153.23318808206005,49388700
2019-01-09,154.462646484375,155.13497191797913,153.1660073473136,153.8095198805915,46491700
2019-01-10,154.9044189453125,154.99085762669685,152.4264074898172,153.29083827043664,38943400
2019-01-11,154.33779907226562,154.5010770786301,153.4733679934221,153.9920295718476,30176600
2019-01-14,152.9739227294922,153.63664877534745,152.32079609894066,153.0315485325064,30710200
2019-01-15,155.96092224121094,156.17222654126815,153.58856322696045,153.67500189818654,40874200
2019-01-16,155.93211364746094,157.305576980088,155.87447320946507,156.22024255948713,33812200
2019-01-17,157.16152954101562,157.86266772884744,155.18296596771978,155.43268260371124,39329000
2019-01-18,158.71749877929688,159.45706399669095,157.3440351740157,158.26607718672068,57183200
2019-01-22,155.53831481933594,157.65134318032463,154.4049540508444,157.57450392012262,56711700
2019-01-23,155.7400360107422,157.04627438264123,153.98239071076293,156.33553673177994,38106100
2019-01-24,156.74855041503906,156.97906826950353,155.65361625362428,156.24910239149696,32417800
2019-01-25,158.6214141845703,159.1016485776881,157.46885457220574,158.00671474760318,36515900
2019-01-28,156.66209411621094,156.6716935298871,155.35585573217725,156.57565542634535,33491200
2019-01-29,155.1830291748047,156.78701111962982,154.62595523168488,156.7485841411536,30784200
2019-01-30,159.13046264648438,159.70674978472684,156.45076116151566,156.94059497010824,41346500
2019-01-31,161.51248168945312,162.3096727730701,159.88928662268077,160.11019040434007,37258400
2019-02-01,160.83053588867188,161.93508406478605,160.38872834270165,160.7152842950439,32143700
2019-02-04,162.82835388183594,162.82835388183594,160.71532442270353,160.8593889507088,26718800
2019-02-05,164.26902770996094,164.46111859733267,162.98200264341543,163.04922785897767,28156400
2019-02-06,163.7791748046875,164.59556464548544,163.03960958547586,164.307435675553,27970000
2019-02-07,161.57965087890625,162.75142390583014,160.35025207288606,162.3480287965663,42036200
2019-02-08,161.89666748046875,161.9254803807238,159.98534337077305,160.1678201871899,29020700
2019-02-11,161.7429656982422,162.87632668281668,161.33957049696443,162.482530895048,21434100
2019-02-12,164.1345672607422,164.37468454064003,162.636237779075,162.92438144607155,29722100
2019-02-13,164.2498016357422,165.3543498007642,164.06732483286177,164.86450122157575,26094100
2019-02-14,164.45150756835938,165.03739425960305,163.11645621035748,163.66391593348345,30326800
2019-02-15,165.1429901123047,165.73847601467497,164.3746122235625,165.70006371525304,32521700
2019-02-19,165.4696044921875,165.96905249490422,164.60518822128057,164.63400111993784,19487700
2019-02-20,165.44078063964844,166.2379716461043,164.5475515292252,165.58484512339624,32593000
2019-02-21,164.835693359375,165.45039296398832,163.96167766378036,164.99897133889476,25207400
2019-02-22,166.05548095703125,166.17073254455747,165.10461139315927,165.19106473939746,27735400
2019-02-25,166.6605682373047,167.7555022010606,166.54530200308295,167.3232941256082,32608800
2019-02-26,166.83346557617188,167.3617264674462,165.9786487359622,166.25719295844965,21939700
2019-02-27,166.727783203125,166.92948810893475,164.97012345897988,166.06505735551062,25162000
2019-02-28,166.34361267089844,166.93909870460396,165.87297762954222,166.20914760988128,25085500
2019-03-01,167.49620056152344,167.74591724375466,166.33402653815043,167.54422694615116,31431200
2019-03-04,167.52499389648438,168.8408316791608,165.65208235949413,168.60071443965967,38063500
2019-03-05,167.64984130859375,168.1684880410205,166.82383750836476,167.64984130859375,22319900
2019-03-06,166.69900512695312,167.84196563554667,166.43007496676577,167.8131527366405,27194600
2019-03-07,164.65318298339844,166.33400362466102,164.03848344938896,166.27637783328402,39407400
2019-03-08,164.4034881591797,164.4899268577194,162.6458280108976,162.80910599333757,39303200
2019-03-11,167.82272338867188,167.93798962013616,165.05658297859372,165.08539587256178,30518400
2019-03-12,168.74476623535156,169.17697426530518,167.86113669583122,168.26453183416066,33953500
2019-03-13,170.01258850097656,170.89621809801895,169.37869018838845,169.61880740461493,42426100
2019-03-14,169.72447204589844,170.32955750947892,169.67644566800337,170.12786724014973,23751500
2019-03-15,171.29965209960938,171.80869949742151,170.27194323440014,170.38719482466888,38192000
2019-03-18,171.7075653076172,172.22717054202207,170.88005836734325,171.22645696285934,32935100
2019-03-19,172.28497314453125,173.19907644487012,171.55367875844607,172.41005138246612,36893300
2019-03-20,172.96817016601562,174.02661502978265,171.5056104953361,172.29462101737764,50105000
2019-03-21,175.6719512939453,175.92212240918477,172.42927026815497,172.4485187177165,42428500
2019-03-22,171.81349182128906,175.38332390521245,171.6306682137682,174.91183221646224,70794500
2019-03-25,171.48629760742188,172.0828673888882,170.24502958062706,171.18801271668872,46336500
2019-03-26,172.28497314453125,173.8630085870716,171.40935206764908,172.81419548123299,33248100
2019-03-27,171.17840576171875,172.9296478242435,169.92753535393464,172.54476688065864,37096700
2019-03-28,171.5729217529297,172.21760542175923,170.54335713270754,171.62103554242054,30368200
2019-03-29,172.8719482421875,173.0355234067436,171.84236877541318,172.9008135840345,35205500
2019-04-01,175.16197204589844,175.37366095543544,173.9399670562491,174.65199822263182,30969500
2019-04-02,175.82586669921875,175.99907335301714,174.91176370194538,175.3543898774188,22645200
2019-04-03,176.83621215820312,177.9331387838812,176.2877561864961,176.81696371009957,31633500
2019-04-04,176.76890563964844,177.52905067012503,175.7489432051328,176.8843669905392,28530800
